zone,investment_priority,investment_type,estimated_investment_amount,expected_roi_percent,risk_level,investment_timeline
IFFCO Chowk,High Priority,Moderate Growth Investment,50000,164.86136885245912,Medium Risk,Short-term (3-6 months)
Gurgaon Railway Station,Medium-High Priority,Moderate Growth Investment,50000,122.05195999999997,High Risk,Short-term (3-6 months)
Panipat,High Priority,Moderate Growth Investment,50000,150.04596478873236,Medium Risk,Short-term (3-6 months)
Botanical Garden,High Priority,Moderate Growth Investment,50000,127.49656521739135,Medium Risk,Short-term (3-6 months)
DLF Phase 3,High Priority,Moderate Growth Investment,50000,179.60946478873234,Medium Risk,Short-term (3-6 months)
Mundka,Medium-High Priority,Moderate Growth Investment,50000,269.9805555555555,High Risk,Short-term (3-6 months)
Shastri Park,High Priority,Moderate Growth Investment,50000,147.57504225352105,High Risk,Short-term (3-6 months)
Saket A Block,High Priority,Moderate Growth Investment,50000,177.45476923076924,Medium Risk,Short-term (3-6 months)
Karkarduma,Medium-High Priority,Moderate Growth Investment,50000,104.50819999999996,High Risk,Short-term (3-6 months)
Kaushambi,High Priority,Moderate Growth Investment,50000,116.58312000000011,High Risk,Short-term (3-6 months)
Dwarka Mor,High Priority,Moderate Growth Investment,50000,206.90225,Medium Risk,Short-term (3-6 months)
Adarsh Nagar,Medium-High Priority,Moderate Growth Investment,50000,139.03744117647062,High Risk,Short-term (3-6 months)
Maidan Garhi,High Priority,Moderate Growth Investment,50000,102.07771999999997,Medium Risk,Short-term (3-6 months)
Patel Chowk,High Priority,Moderate Growth Investment,50000,230.7160615384616,High Risk,Short-term (3-6 months)
Peeragarhi,Medium-High Priority,Moderate Growth Investment,50000,116.6283600000001,High Risk,Short-term (3-6 months)
Shivaji Park,High Priority,Moderate Growth Investment,50000,128.769,Medium Risk,Short-term (3-6 months)
Vatika Chowk,Medium-High Priority,Moderate Growth Investment,50000,95.02756000000005,High Risk,Short-term (3-6 months)
Huda City Centre,High Priority,Moderate Growth Investment,50000,158.48649367088592,High Risk,Short-term (3-6 months)
Noida Sector 18,High Priority,Moderate Growth Investment,50000,106.66475,High Risk,Short-term (3-6 months)
Vinobapuri,High Priority,Moderate Growth Investment,50000,138.2190588235294,High Risk,Short-term (3-6 months)
Sikanderpur,Medium-High Priority,Moderate Growth Investment,50000,103.50356000000005,High Risk,Short-term (3-6 months)
IGNOU Road,Medium-High Priority,Moderate Growth Investment,50000,247.63950819672132,High Risk,Short-term (3-6 months)
AIIMS,Medium-High Priority,Moderate Growth Investment,50000,243.7498235294118,High Risk,Short-term (3-6 months)
Badarpur,High Priority,Moderate Growth Investment,50000,133.2173999999999,Medium Risk,Short-term (3-6 months)
Okhla,Medium-High Priority,Moderate Growth Investment,50000,112.81624,High Risk,Short-term (3-6 months)
Lajpat Nagar,High Priority,Moderate Growth Investment,50000,265.3547857142857,High Risk,Short-term (3-6 months)
Tis Hazari,High Priority,Moderate Growth Investment,50000,269.71764406779664,Medium Risk,Short-term (3-6 months)
Greater Noida,High Priority,Moderate Growth Investment,50000,130.659,Medium Risk,Short-term (3-6 months)
INA Market,Medium-High Priority,Moderate Growth Investment,50000,255.69372222222225,High Risk,Short-term (3-6 months)
Sohna Road,High Priority,Moderate Growth Investment,50000,188.25588405797095,Medium Risk,Short-term (3-6 months)
Mansarovar Park,Medium-High Priority,Moderate Growth Investment,50000,113.37680000000006,High Risk,Short-term (3-6 months)
Anand Vihar,High Priority,Moderate Growth Investment,50000,108.57095999999997,Medium Risk,Short-term (3-6 months)
Udyog Vihar,Medium-High Priority,Moderate Growth Investment,50000,129.98247999999998,High Risk,Short-term (3-6 months)
Basai Dhankot,Medium-High Priority,Moderate Growth Investment,50000,121.25843999999995,High Risk,Short-term (3-6 months)
Vidhan Sabha,Medium-High Priority,Moderate Growth Investment,50000,99.70599999999999,High Risk,Short-term (3-6 months)
MG Road,High Priority,Moderate Growth Investment,50000,117.10898412698425,Medium Risk,Short-term (3-6 months)
Jasola,Medium-High Priority,Moderate Growth Investment,50000,231.64921875000002,High Risk,Short-term (3-6 months)
Tughlakabad,High Priority,Moderate Growth Investment,50000,214.2858333333335,Medium Risk,Short-term (3-6 months)
Ashram,High Priority,Moderate Growth Investment,50000,175.61881159420287,High Risk,Short-term (3-6 months)
Ambience Mall,Medium-High Priority,Moderate Growth Investment,50000,151.9246470588236,High Risk,Short-term (3-6 months)
Civil Lines Gurgaon,Medium-High Priority,Moderate Growth Investment,50000,153.61786619718302,High Risk,Short-term (3-6 months)
Preet Vihar,High Priority,Moderate Growth Investment,50000,112.51974603174604,Medium Risk,Short-term (3-6 months)
RK Puram,Medium-High Priority,Moderate Growth Investment,50000,110.95828000000003,High Risk,Short-term (3-6 months)
Nawada,Medium-High Priority,Moderate Growth Investment,50000,242.2604098360655,High Risk,Short-term (3-6 months)
Samaypur Badli,High Priority,Moderate Growth Investment,50000,208.06474590163933,Medium Risk,Short-term (3-6 months)
Keshav Puram,Medium-High Priority,Moderate Growth Investment,50000,164.6111176470588,High Risk,Short-term (3-6 months)
Khandsa,Medium-High Priority,Moderate Growth Investment,50000,137.8063999999999,High Risk,Short-term (3-6 months)
Arjangarh,Medium Priority,Maintenance & Improvement,50000,114.48521126760565,High Risk,Medium-term (6-12 months)
Indraprastha,Medium Priority,Maintenance & Improvement,50000,132.6085820895524,High Risk,Medium-term (6-12 months)
Greater Kailash,Medium Priority,Maintenance & Improvement,50000,116.19936,High Risk,Medium-term (6-12 months)
Ramesh Nagar,Medium-High Priority,Optimization Investment,50000,108.66456000000007,Medium Risk,Short-term (3-6 months)
Rajiv Chowk,Medium Priority,Maintenance & Improvement,50000,193.1076875,High Risk,Medium-term (6-12 months)
Dilshad Garden,Medium-High Priority,Optimization Investment,50000,122.26815384615375,Medium Risk,Short-term (3-6 months)
Bahadurgarh,Medium-High Priority,Optimization Investment,50000,97.76744000000006,Medium Risk,Short-term (3-6 months)
Old Gurgaon,Medium Priority,Maintenance & Improvement,50000,148.85319230769224,High Risk,Medium-term (6-12 months)
Golf Course Road,Medium-High Priority,Optimization Investment,50000,101.50988000000001,High Risk,Short-term (3-6 months)
Madipur,Medium Priority,Maintenance & Improvement,50000,174.9205,High Risk,Medium-term (6-12 months)
Indirapuram,Medium Priority,Maintenance & Improvement,50000,113.382,High Risk,Medium-term (6-12 months)
Chandni Chowk,Medium Priority,Maintenance & Improvement,50000,109.94583999999996,High Risk,Medium-term (6-12 months)
Connaught Place,Medium Priority,Maintenance & Improvement,50000,111.34776000000002,High Risk,Medium-term (6-12 months)
Chirag Delhi,Medium Priority,Maintenance & Improvement,50000,97.99468000000006,High Risk,Medium-term (6-12 months)
IGI Airport,Medium Priority,Maintenance & Improvement,50000,113.77459999999996,High Risk,Medium-term (6-12 months)
Narsinghpur,Medium-High Priority,Optimization Investment,50000,100.64511999999999,Medium Risk,Short-term (3-6 months)
Rithala,Medium Priority,Maintenance & Improvement,50000,121.61204000000004,High Risk,Medium-term (6-12 months)
Pragati Maidan,Medium-High Priority,Optimization Investment,50000,180.52155072463768,Medium Risk,Short-term (3-6 months)
Hero Honda Chowk,Medium-High Priority,Optimization Investment,50000,116.02880000000005,Medium Risk,Short-term (3-6 months)
Sultanpur,Medium Priority,Selective Growth Investment,50000,121.46035294117638,High Risk,Medium-term (6-12 months)
Seelampur,Medium Priority,Selective Growth Investment,50000,103.79528000000002,High Risk,Medium-term (6-12 months)
Yamuna Bank,Medium-High Priority,Optimization Investment,50000,119.74907246376807,Medium Risk,Short-term (3-6 months)
Gurgaon Sector 29,Medium-High Priority,Optimization Investment,50000,124.21201428571436,Medium Risk,Short-term (3-6 months)
New Colony,Medium Priority,Maintenance & Improvement,50000,123.24119999999996,High Risk,Medium-term (6-12 months)
Model Town,Medium Priority,Maintenance & Improvement,50000,121.27958823529399,High Risk,Medium-term (6-12 months)
Kashmere Gate ISBT,Medium Priority,Maintenance & Improvement,50000,109.07276000000002,High Risk,Medium-term (6-12 months)
Tagore Garden,Medium Priority,Maintenance & Improvement,50000,126.43088000000012,High Risk,Medium-term (6-12 months)
Bhiwadi,Medium Priority,Maintenance & Improvement,50000,152.2723823529412,High Risk,Medium-term (6-12 months)
Kalkaji,Medium Priority,Maintenance & Improvement,50000,100.83752000000001,High Risk,Medium-term (6-12 months)
Udyog Vihar Phase 4,Medium-High Priority,Optimization Investment,50000,106.40671999999998,Medium Risk,Short-term (3-6 months)
Chanakyapuri,Medium Priority,Maintenance & Improvement,50000,114.38819999999996,High Risk,Medium-term (6-12 months)
Gurgaon Sector 56,Medium Priority,Maintenance & Improvement,50000,171.70135714285703,High Risk,Medium-term (6-12 months)
Noida Film City,Medium-High Priority,Optimization Investment,50000,121.56367999999993,Medium Risk,Short-term (3-6 months)
Akshardham,Medium Priority,Maintenance & Improvement,50000,154.02808730158722,High Risk,Medium-term (6-12 months)
Shahdara,Medium Priority,Maintenance & Improvement,50000,224.70672131147538,High Risk,Medium-term (6-12 months)
Ghitorni,Medium Priority,Maintenance & Improvement,50000,113.63368000000006,Medium Risk,Medium-term (6-12 months)
Noida Extension,Medium Priority,Maintenance & Improvement,50000,108.03328000000003,Medium Risk,Medium-term (6-12 months)
Mayur Vihar,Medium Priority,Maintenance & Improvement,50000,146.8557456140353,High Risk,Medium-term (6-12 months)
Lok Kalyan Marg,Medium-High Priority,Optimization Investment,50000,119.0276399999999,Medium Risk,Short-term (3-6 months)
Anand Vihar ISBT,Medium-High Priority,Optimization Investment,50000,116.81295999999996,Medium Risk,Short-term (3-6 months)
Subhash Chowk,Medium Priority,Maintenance & Improvement,50000,125.53128000000002,High Risk,Medium-term (6-12 months)
Inderlok,Medium-High Priority,Optimization Investment,50000,128.81871999999996,High Risk,Short-term (3-6 months)
Moti Nagar,Medium Priority,Maintenance & Improvement,50000,105.41144000000007,High Risk,Medium-term (6-12 months)
Punjabi Bagh,Medium Priority,Maintenance & Improvement,50000,119.69063999999989,High Risk,Medium-term (6-12 months)
Dwarka Sector 21,Medium Priority,Maintenance & Improvement,50000,127.851,High Risk,Medium-term (6-12 months)
GTB Nagar,Medium Priority,Maintenance & Improvement,50000,115.01999999999998,High Risk,Medium-term (6-12 months)
Netaji Subhash Place,Medium-High Priority,Optimization Investment,50000,118.7230625,High Risk,Short-term (3-6 months)
Ghitorni Village,Medium-High Priority,Optimization Investment,50000,92.01988000000001,Medium Risk,Short-term (3-6 months)
South Extension,Medium Priority,Maintenance & Improvement,50000,107.06868000000004,High Risk,Medium-term (6-12 months)
Janakpuri,Medium Priority,Maintenance & Improvement,50000,109.83507999999995,High Risk,Medium-term (6-12 months)
Karol Bagh,Medium-High Priority,Optimization Investment,50000,113.36276000000001,Medium Risk,Short-term (3-6 months)
Lal Quila,Medium Priority,Maintenance & Improvement,50000,143.2372380952381,High Risk,Medium-term (6-12 months)
Delhi Gate,Medium Priority,Maintenance & Improvement,50000,110.24692000000005,High Risk,Medium-term (6-12 months)
Green Park,Medium Priority,Maintenance & Improvement,50000,101.34035999999999,High Risk,Medium-term (6-12 months)
Jor Bagh,Medium-High Priority,Optimization Investment,50000,120.69371999999998,High Risk,Short-term (3-6 months)
Ashok Vihar,Medium Priority,Maintenance & Improvement,50000,158.61185593220335,High Risk,Medium-term (6-12 months)
Ghaziabad,Medium Priority,Maintenance & Improvement,50000,113.21352000000002,High Risk,Medium-term (6-12 months)
India Gate,Medium Priority,Maintenance & Improvement,50000,118.504,High Risk,Medium-term (6-12 months)
New Delhi Railway Station,Medium Priority,Maintenance & Improvement,50000,108.34735999999998,High Risk,Medium-term (6-12 months)
Kashmere Gate,Medium-High Priority,Optimization Investment,50000,101.80316000000002,Medium Risk,Short-term (3-6 months)
Subhash Nagar,Medium Priority,Maintenance & Improvement,50000,121.44356000000005,High Risk,Medium-term (6-12 months)
Moolchand,Medium Priority,Maintenance & Improvement,50000,105.14416000000004,High Risk,Medium-term (6-12 months)
Kanhaiya Nagar,Medium Priority,Maintenance & Improvement,50000,118.8716399999999,High Risk,Medium-term (6-12 months)
Barakhamba Road,Medium-High Priority,Optimization Investment,50000,139.40071999999998,Medium Risk,Short-term (3-6 months)
Cyber Hub,Medium-High Priority,Optimization Investment,50000,113.80424000000001,Medium Risk,Short-term (3-6 months)
Kirti Nagar,Medium-High Priority,Optimization Investment,50000,104.83840000000002,Medium Risk,Short-term (3-6 months)
Raj Nagar Extension,Medium-High Priority,Optimization Investment,50000,112.41583999999997,High Risk,Short-term (3-6 months)
Aya Nagar,Medium Priority,Maintenance & Improvement,50000,113.73247999999998,Medium Risk,Medium-term (6-12 months)
Jama Masjid,Medium Priority,Maintenance & Improvement,50000,117.99388000000013,High Risk,Medium-term (6-12 months)
Pulbangash,Medium Priority,Maintenance & Improvement,50000,111.22764000000001,High Risk,Medium-term (6-12 months)
Kherki Daula Toll,Medium-High Priority,Optimization Investment,50000,112.73407999999996,Medium Risk,Short-term (3-6 months)
Vishwavidyalaya,Medium Priority,Maintenance & Improvement,50000,123.76691999999994,High Risk,Medium-term (6-12 months)
Tilak Nagar,Medium Priority,Maintenance & Improvement,50000,123.97388000000011,High Risk,Medium-term (6-12 months)
Saidulajab,Medium Priority,Maintenance & Improvement,50000,122.56415999999992,High Risk,Medium-term (6-12 months)
Khan Market,Medium Priority,Maintenance & Improvement,50000,107.60428000000002,High Risk,Medium-term (6-12 months)
Noida Sector 62,Medium Priority,Maintenance & Improvement,50000,102.33512,High Risk,Medium-term (6-12 months)
Badshahpur,Medium Priority,Maintenance & Improvement,50000,117.68447999999998,High Risk,Medium-term (6-12 months)
Vasant Kunj,Medium-High Priority,Optimization Investment,50000,114.75999999999999,High Risk,Short-term (3-6 months)
Laxmi Nagar,Medium Priority,Maintenance & Improvement,50000,92.76504000000003,High Risk,Medium-term (6-12 months)
Nirman Vihar,Medium Priority,Maintenance & Improvement,50000,116.63980000000005,High Risk,Medium-term (6-12 months)
Vaishali,Medium Priority,Maintenance & Improvement,50000,109.77788,High Risk,Medium-term (6-12 months)
Sonipat,Medium Priority,Maintenance & Improvement,50000,100.21559999999998,High Risk,Medium-term (6-12 months)
Shastri Nagar,Medium Priority,Maintenance & Improvement,50000,121.64999999999999,High Risk,Medium-term (6-12 months)
Meerut,Medium Priority,Maintenance & Improvement,50000,103.77344000000006,High Risk,Medium-term (6-12 months)
Faridabad Sector 15,Medium-High Priority,Optimization Investment,50000,99.19276,Medium Risk,Short-term (3-6 months)
IMT Manesar,Medium-High Priority,Optimization Investment,50000,118.51076,Medium Risk,Short-term (3-6 months)
Palam Vihar,Medium Priority,Maintenance & Improvement,50000,96.67856000000006,High Risk,Medium-term (6-12 months)
Jhilmil,Medium Priority,Maintenance & Improvement,50000,105.75568000000004,High Risk,Medium-term (6-12 months)
Chhatarpur,Medium Priority,Maintenance & Improvement,50000,101.50312,High Risk,Medium-term (6-12 months)
Mandi House,Low-Medium Priority,Maintenance & Improvement,50000,95.43471999999997,High Risk,Medium-term (6-12 months)
