zone,recommendation,expansion_priority,expansion_type,timeline,estimated_budget,expected_roi_percent,investment_risk
Pitampura,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39803.8,410.34482758620686,Low
Rohini,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39770.4,204.47761194029854,Low
Sushant Lok,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39923.700000000004,433.33333333333303,Low
Jahangirpuri,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42187.3,184.50704225352123,Low
Rohini West,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41477.3,217.64705882352945,Low
Mehrauli,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42279.8,109.99999999999987,Low
Ashok Park Main,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42821.100000000006,399.9999999999999,Low
Hauz Khas,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42138.3,176.92307692307674,Low
Sarai Kale Khan,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41756.9,169.44444444444434,Low
Bhikaji Cama Place,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),38673.5,221.21212121212116,Low
Govindpuri,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),38454.200000000004,231.57894736842087,Low
IFFCO Chowk,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39892.700000000004,181.9672131147541,Low
Gurgaon Railway Station,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42702.3,109.9999999999999,Low
Panipat,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40812.100000000006,156.33802816901388,Low
Botanical Garden,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),43006.200000000004,114.49275362318836,Low
DLF Phase 3,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40105.600000000006,198.59154929577457,Low
Mundka,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40537.0,306.34920634920627,Low
Shastri Park,High volatility - implement risk mitigation strategies,70,Moderate Expansion,Medium-term (3-6 months),40408.8,156.3380281690139,Low
Saket A Block,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),38784.0,207.6923076923077,Low
Karkarduma,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39328.5,109.99999999999994,Low
Kaushambi,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41650.600000000006,109.99999999999999,Low
Dwarka Mor,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40920.3,224.99999999999991,Low
Adarsh Nagar,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),38701.3,158.82352941176464,Low
Maidan Garhi,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),38861.1,110.00000000000001,Low
Patel Chowk,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39443.200000000004,269.2307692307693,Low
Peeragarhi,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41659.3,109.99999999999991,Low
Shivaji Park,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),43062.4,115.62499999999996,Low
Vatika Chowk,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),37505.3,109.99999999999999,Low
Huda City Centre,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41253.4,163.2911392405061,Low
Noida Sector 18,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),38901.6,115.62500000000004,Low
Vinobapuri,High volatility - implement risk mitigation strategies,70,Moderate Expansion,Medium-term (3-6 months),38568.8,158.8235294117646,Low
Sikanderpur,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39135.3,109.99999999999999,Low
IGNOU Road,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40392.4,280.32786885245883,Low
AIIMS,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),44951.9,232.35294117647047,Low
Badarpur,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),44849.5,109.9999999999999,Low
Okhla,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40926.200000000004,109.99999999999987,Low
Lajpat Nagar,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39345.9,314.28571428571405,Low
Tis Hazari,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40772.600000000006,303.38983050847446,Low
Greater Noida,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),44357.5,110.00000000000001,Low
INA Market,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39198.9,303.7037037037035,Low
Sohna Road,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41009.600000000006,201.4492753623189,Low
Mansarovar Park,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41034.0,109.99999999999991,Low
Anand Vihar,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40109.8,109.99999999999987,Low
Udyog Vihar,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),44227.4,110.00000000000007,Low
Basai Dhankot,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42549.700000000004,109.99999999999997,Low
Vidhan Sabha,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),38405.0,110.00000000000001,Low
MG Road,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),38529.200000000004,131.74603174603178,Low
Jasola,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42451.100000000006,240.62499999999983,Low
Tughlakabad,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),43516.5,211.11111111111103,Low
Ashram,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42736.4,172.46376811594212,Low
Ambience Mall,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40787.8,158.82352941176458,Low
Civil Lines Gurgaon,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41395.100000000006,156.338028169014,Low
Preet Vihar,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39966.4,115.8730158730157,Low
RK Puram,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40568.9,110.00000000000001,Low
Nawada,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39767.4,280.32786885245906,Low
Samaypur Badli,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42229.100000000006,214.7540983606556,Low
Keshav Puram,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42841.8,158.8235294117646,Low
Khandsa,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),45732.0,109.9999999999999,Low
Arjangarh,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20304.600000000002,128.16901408450713,Low
Indraprastha,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20779.7,159.70149253731373,Low
Greater Kailash,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20788.4,120.00000000000017,Low
Ramesh Nagar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20063.9,120.00000000000006,Low
Rajiv Chowk,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20390.100000000002,318.75,Low
Dilshad Garden,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19791.0,161.5384615384616,Low
Bahadurgarh,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19016.100000000002,120.0000000000002,Low
Old Gurgaon,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19029.95,253.84615384615384,Low
Golf Course Road,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19375.95,120.00000000000013,Low
Madipur,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21704.25,233.33333333333363,Low
Indirapuram,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20517.5,120.00000000000028,Low
Chandni Chowk,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20187.100000000002,120.00000000000024,Low
Connaught Place,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20321.9,120.00000000000024,Low
Chirag Delhi,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19037.95,120.00000000000024,Low
IGI Airport,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20555.25,120.00000000000021,Low
Narsinghpur,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19292.8,120.00000000000017,Low
Rithala,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21308.850000000002,120.00000000000013,Low
Pragati Maidan,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21748.300000000003,244.9275362318845,Low
Hero Honda Chowk,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20772.0,120.00000000000011,Low
Sultanpur,Strong presence - optimize pricing and improve service quality; High volatility - implement risk mitigation strategies,60,Maintain & Optimize,Long-term (6-12 months),20915.7,129.41176470588255,Low
Seelampur,Strong presence - optimize pricing and improve service quality; High volatility - implement risk mitigation strategies,60,Maintain & Optimize,Long-term (6-12 months),19595.7,120.00000000000017,Low
Yamuna Bank,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19691.800000000003,157.97101449275362,Low
Gurgaon Sector 29,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19140.05,185.7142857142861,Low
New Colony,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21465.5,120.00000000000017,Low
Model Town,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19798.7,158.82352941176475,Low
Kashmere Gate ISBT,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20103.15,120.00000000000024,Low
Tagore Garden,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21772.2,120.00000000000011,Low
Bhiwadi,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20422.050000000003,217.64705882352962,Low
Kalkaji,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19311.3,120.00000000000024,Low
Udyog Vihar Phase 4,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19846.800000000003,120.00000000000009,Low
Chanakyapuri,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20614.25,120.00000000000017,Low
Gurgaon Sector 56,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20020.100000000002,278.5714285714286,Low
Noida Film City,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21304.2,120.00000000000021,Low
Akshardham,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19281.65,258.73015873015873,Low
Shahdara,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19611.0,427.8688524590166,Low
Ghitorni,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20541.7,120.00000000000024,Low
Noida Extension,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20003.2,120.00000000000017,Low
Mayur Vihar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21647.350000000002,170.1754385964917,Low
Lok Kalyan Marg,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21060.350000000002,120.00000000000006,Low
Anand Vihar ISBT,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20847.4,120.00000000000013,Low
Subhash Chowk,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21685.7,120.00000000000017,Low
Inderlok,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),22001.800000000003,120.00000000000006,Low
Moti Nagar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19751.100000000002,120.0000000000002,Low
Punjabi Bagh,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21124.100000000002,120.00000000000006,Low
Dwarka Sector 21,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21908.75,120.00000000000026,Low
GTB Nagar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20675.0,120.00000000000028,Low
Netaji Subhash Place,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19442.05,162.5000000000002,Low
Ghitorni Village,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),18463.45,120.00000000000013,Low
South Extension,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19910.45,120.00000000000024,Low
Janakpuri,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20176.45,120.00000000000028,Low
Karol Bagh,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20515.65,120.00000000000024,Low
Lal Quila,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19397.4,226.98412698412724,Low
Delhi Gate,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20216.050000000003,120.00000000000024,Low
Green Park,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19359.65,120.0000000000002,Low
Jor Bagh,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21220.550000000003,120.00000000000006,Low
Ashok Vihar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19314.05,269.4915254237289,Low
Ghaziabad,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20501.300000000003,120.0000000000002,Low
India Gate,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21010.0,120.00000000000028,Low
New Delhi Railway Station,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20033.4,120.00000000000017,Low
Kashmere Gate,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19404.15,120.00000000000031,Low
Subhash Nagar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21292.65,120.00000000000006,Low
Moolchand,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19725.4,120.00000000000031,Low
Kanhaiya Nagar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21045.350000000002,120.00000000000006,Low
Barakhamba Road,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),23019.300000000003,120.00000000000006,Low
Cyber Hub,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20558.100000000002,120.00000000000028,Low
Kirti Nagar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19696.0,120.00000000000006,Low
Raj Nagar Extension,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20424.600000000002,120.00000000000024,Low
Aya Nagar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20551.2,120.00000000000006,Low
Jama Masjid,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20960.95,120.00000000000011,Low
Pulbangash,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20310.350000000002,120.00000000000006,Low
Kherki Daula Toll,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20455.2,120.00000000000028,Low
Vishwavidyalaya,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21516.050000000003,120.00000000000024,Low
Tilak Nagar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21535.95,120.00000000000011,Low
Saidulajab,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21400.4,120.00000000000028,Low
Khan Market,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19961.95,120.00000000000017,Low
Noida Sector 62,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19455.3,120.00000000000017,Low
Badshahpur,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20931.2,120.00000000000006,Low
Vasant Kunj,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20650.0,120.00000000000028,Low
Laxmi Nagar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),18535.100000000002,120.00000000000013,Low
Nirman Vihar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20830.75,120.00000000000011,Low
Vaishali,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),20170.95,120.00000000000013,Low
Sonipat,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19251.5,120.00000000000024,Low
Shastri Nagar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21312.5,120.00000000000028,Low
Meerut,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19593.600000000002,120.0000000000002,Low
Faridabad Sector 15,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19153.15,120.00000000000024,Low
IMT Manesar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),21010.65,120.00000000000021,Low
Palam Vihar,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),18911.4,120.00000000000006,Low
Jhilmil,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19784.2,120.00000000000024,Low
Chhatarpur,Strong presence - optimize pricing and improve service quality,60,Maintain & Optimize,Long-term (6-12 months),19375.3,120.00000000000017,Low
Mandi House,Urgent intervention required - analyze root causes,50,Maintain & Optimize,Long-term (6-12 months),18791.8,120.00000000000013,Low
