zone,investment_priority_score,investment_priority,investment_type,recommended_action,estimated_investment_amount,expected_roi_percent,expected_payback_months,investment_timeline,risk_level,risk_factors,key_performance_indicators,success_metrics,required_resources,growth_category,current_metrics
Sadar Bazar Gurgaon,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,442.80502830188675,2.7099963263784077,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 70.08308189460628, 'volume_index': 86.09062170706007, 'revenue': 376061.0, 'market_share': 0.5446666666666666}"
Pataudi Chowk,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,232.98132835820877,5.1506273419258735,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 69.59635968319039, 'volume_index': 95.57428872497366, 'revenue': 450702.0, 'market_share': 0.6046666666666667}"
DLF City Court,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,181.40806338028167,6.614920955770675,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 69.2615878571214, 'volume_index': 91.04320337197048, 'revenue': 420631.0, 'market_share': 0.5760000000000001}"
Manesar,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,323.8291212121211,3.7056580813618414,Short-term (3-6 months),High Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 69.20757084028668, 'volume_index': 86.82824025289779, 'revenue': 393982.0, 'market_share': 0.5493333333333333}"
Qutub Minar,72.54545454545455,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,231.84436507936522,5.175885985364427,Short-term (3-6 months),High Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 69.12540857262805, 'volume_index': 86.72286617492097, 'revenue': 390770.0, 'market_share': 0.5486666666666666}"
IIT Delhi,72.54545454545455,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,135.10081506849315,8.882255813124639,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 68.93837576184214, 'volume_index': 87.03898840885142, 'revenue': 385671.0, 'market_share': 0.5506666666666666}"
Rohini East,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,285.808,4.198622851704641,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 68.8910383417962, 'volume_index': 91.25395152792412, 'revenue': 409921.0, 'market_share': 0.5773333333333334}"
Malviya Nagar,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,430.94264285714274,2.784593309318427,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 68.78670100846624, 'volume_index': 93.25605900948368, 'revenue': 420747.0, 'market_share': 0.59}"
Uttam Nagar,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,240.11986666666672,4.997504024378934,Short-term (3-6 months),High Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 68.6190192724104, 'volume_index': 86.9336143308746, 'revenue': 392446.0, 'market_share': 0.5499999999999999}"
Gwal Pahari,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,173.8248484848484,6.90350091175025,Short-term (3-6 months),High Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 68.56657375324357, 'volume_index': 85.87987355110643, 'revenue': 384520.0, 'market_share': 0.5433333333333333}"
Rajouri Garden,72.54545454545455,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,113.63368000000006,10.56024939084961,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 68.47982361692235, 'volume_index': 89.77871443624869, 'revenue': 410834.0, 'market_share': 0.5680000000000001}"
Munirka,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,105.39580769230763,11.385652107750607,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 68.17471585079382, 'volume_index': 85.87987355110643, 'revenue': 390753.0, 'market_share': 0.5433333333333333}"
Ardee City,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,241.36416666666673,4.971740488956865,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 67.84503419097287, 'volume_index': 90.72708113804003, 'revenue': 409637.0, 'market_share': 0.5740000000000001}"
Paharganj,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,197.22047945205472,6.084560808968756,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 67.82973558617678, 'volume_index': 86.9336143308746, 'revenue': 413278.0, 'market_share': 0.5499999999999999}"
Satguru Ram Singh Marg,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,199.21691176470603,6.0235849927104255,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 67.71453683981852, 'volume_index': 88.93572181243414, 'revenue': 406935.0, 'market_share': 0.5626666666666666}"
Welcome,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,149.949161971831,8.002712280749048,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 67.62326524197111, 'volume_index': 88.0927291886196, 'revenue': 407963.0, 'market_share': 0.5573333333333332}"
ITO,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,331.59807377049185,3.618838874288977,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 67.48554381010207, 'volume_index': 92.51844046364594, 'revenue': 435165.0, 'market_share': 0.5853333333333334}"
Pitampura,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,346.07706896551724,3.4674357465722956,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 67.44249230536943, 'volume_index': 89.67334035827187, 'revenue': 398038.0, 'market_share': 0.5673333333333334}"
Rohini,72.54545454545455,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,181.95432835820898,6.595061578516504,Short-term (3-6 months),High Risk,High growth volatility; Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 67.3186794094573, 'volume_index': 89.2518440463646, 'revenue': 397704.0, 'market_share': 0.5646666666666667}"
Sushant Lok,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,365.7765,3.2806918979212716,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 67.20500760659458, 'volume_index': 89.56796628029505, 'revenue': 399237.0, 'market_share': 0.5666666666666667}"
Jahangirpuri,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,182.23897887323957,6.584760337329847,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 67.10184181505463, 'volume_index': 93.15068493150685, 'revenue': 421873.0, 'market_share': 0.5893333333333334}"
Rohini West,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,204.9801470588236,5.854225480946862,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 66.4529631083034, 'volume_index': 87.98735511064278, 'revenue': 414773.0, 'market_share': 0.5566666666666666}"
Mehrauli,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,119.85495999999995,10.012101293096261,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 66.40122846050467, 'volume_index': 96.4172813487882, 'revenue': 422798.0, 'market_share': 0.61}"
Ashok Park Main,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,371.03210000000007,3.234221513448566,Short-term (3-6 months),High Risk,High growth volatility; Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 66.35953780669577, 'volume_index': 93.15068493150685, 'revenue': 428211.0, 'market_share': 0.5893333333333334}"
Hauz Khas,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,175.51965384615374,6.836841195298975,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 66.07937405336219, 'volume_index': 92.3076923076923, 'revenue': 421383.0, 'market_share': 0.584}"
Sarai Kale Khan,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,166.7801944444445,7.195098938439764,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 66.06406383565441, 'volume_index': 89.98946259220232, 'revenue': 417569.0, 'market_share': 0.5693333333333334}"
Bhikaji Cama Place,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,187.12143939393923,6.412947676581775,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 65.68779313010245, 'volume_index': 86.51211801896733, 'revenue': 386735.0, 'market_share': 0.5473333333333333}"
Govindpuri,72.54545454545455,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,193.4662631578946,6.202631820208559,Short-term (3-6 months),High Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 65.17120544258697, 'volume_index': 87.14436248682824, 'revenue': 384542.0, 'market_share': 0.5513333333333333}"
IFFCO Chowk,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,164.86136885245912,7.278842874790921,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 65.10665104190109, 'volume_index': 87.46048472075869, 'revenue': 398927.0, 'market_share': 0.5533333333333333}"
Gurgaon Railway Station,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,122.05195999999997,9.831878160744001,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 65.00762323620076, 'volume_index': 92.3076923076923, 'revenue': 427023.0, 'market_share': 0.584}"
Panipat,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,150.04596478873236,7.997549295575016,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 64.96421492127104, 'volume_index': 88.83034773445732, 'revenue': 408121.0, 'market_share': 0.562}"
Botanical Garden,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,127.49656521739135,9.412018260679483,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 64.95009920291241, 'volume_index': 90.93782929399369, 'revenue': 430062.0, 'market_share': 0.5753333333333334}"
DLF Phase 3,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,179.60946478873234,6.681162384240238,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 64.83905767333512, 'volume_index': 88.72497365648051, 'revenue': 401056.0, 'market_share': 0.5613333333333334}"
Mundka,68.45454545454545,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,269.9805555555555,4.444764540656221,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 64.75060306328999, 'volume_index': 87.46048472075869, 'revenue': 405370.0, 'market_share': 0.5533333333333333}"
Shastri Park,72.54545454545455,High Priority,Moderate Growth Investment,High volatility - implement risk mitigation strategies,50000,147.57504225352105,8.13145625219273,Short-term (3-6 months),High Risk,High growth volatility; Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 64.46292684271239, 'volume_index': 91.35932560590096, 'revenue': 404088.0, 'market_share': 0.5780000000000001}"
Saket A Block,72.54545454545455,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,177.45476923076924,6.762286554493626,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 63.94889092818888, 'volume_index': 86.72286617492097, 'revenue': 387840.0, 'market_share': 0.5486666666666666}"
Karkarduma,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,104.50819999999996,11.482352580945804,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 63.76858675792255, 'volume_index': 88.0927291886196, 'revenue': 393285.0, 'market_share': 0.5573333333333332}"
Kaushambi,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,116.58312000000011,10.293085311149666,Short-term (3-6 months),High Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 63.713348489604925, 'volume_index': 90.09483667017912, 'revenue': 416506.0, 'market_share': 0.5700000000000001}"
Dwarka Mor,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,206.90225,5.799840262732764,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 63.660665365406295, 'volume_index': 88.51422550052686, 'revenue': 409203.0, 'market_share': 0.5599999999999999}"
Adarsh Nagar,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,139.03744117647062,8.630768732840263,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 63.647543585176, 'volume_index': 90.41095890410958, 'revenue': 387013.0, 'market_share': 0.5720000000000001}"
Maidan Garhi,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,102.07771999999997,11.755748463033857,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 63.57267203925937, 'volume_index': 86.9336143308746, 'revenue': 388611.0, 'market_share': 0.5499999999999999}"
Patel Chowk,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,230.7160615384616,5.201198356101245,Short-term (3-6 months),High Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 62.922588694851, 'volume_index': 89.98946259220232, 'revenue': 394432.0, 'market_share': 0.5693333333333334}"
Peeragarhi,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,116.6283600000001,10.289092635787718,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 62.81814527494674, 'volume_index': 90.72708113804003, 'revenue': 416593.0, 'market_share': 0.5740000000000001}"
Shivaji Park,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,128.769,9.31901311651096,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 62.59397173045065, 'volume_index': 94.83667017913592, 'revenue': 430624.0, 'market_share': 0.6}"
